from_act,from_num,from_heading,to_act,to_num,to_heading,relation,score
income-tax-act,80QQB,"Deduction in respect of royalty income, etc., of authors of certain books other than text-books",income-tax-act-2025,151,"Deduction in respect of royalty income, etc., of authors of certain books other than text-books",official,
income-tax-act,80R,"Deduction in respect of remuneration from certain foreign sources in the case of professors, teachers, etc",income-tax-act-2025,,,official-none,
income-tax-act,80RR,Deduction in respect of professional income from foreign sources in certain cases,income-tax-act-2025,,,official-none,
income-tax-act,80RRA,Deduction in respect of remuneration received for services rendered outside India,income-tax-act-2025,,,official-none,
income-tax-act,80RRB,Deduction in respect of royalty on patents,income-tax-act-2025,152,Deduction in respect of royalty on patents,official,
income-tax-act,80TTA,Deduction in respect of interest on deposits in savings account,income-tax-act-2025,153,Deduction for interest on deposits,official,
income-tax-act,80TTB,Deduction in respect of interest on deposits in case of senior citizens,income-tax-act-2025,153,Deduction for interest on deposits,official,
income-tax-act,80U,Deduction in case of a person with disability,income-tax-act-2025,154,Deduction in case of a person with disability,official,
income-tax-act,86,Share of member of an association of persons or body of individuals in the income of the association or body,income-tax-act-2025,310,Share of member of association of persons or body of individuals in income of association or body,official,
income-tax-act,87,Rebate to be allowed in computing income-tax,income-tax-act-2025,155,Rebate to be allowed in computing income-tax,official,
income-tax-act,87A,Rebate of income-tax in case of certain individuals,income-tax-act-2025,156,Rebate of income-tax in case of certain individuals,official,
income-tax-act,88E,Rebate in respect of securities transaction tax,income-tax-act-2025,,,official-none,
income-tax-act,89,"Relief when salary, etc., is paid in arrears or in advance",income-tax-act-2025,157,"Relief when salary, etc., is paid in arrears or in advance",official,
income-tax-act,89A,Relief from taxation in income from retirement benefit account maintained in a notified country,income-tax-act-2025,158,Relief from taxation in income from retirement benefit account maintained in a notified country,official,
income-tax-act,90,Agreement with foreign countries or specified territories,income-tax-act-2025,159,Agreement with foreign countries or specified territories and adoption by Central Government of agreement between specified associations for double taxation relief,official,
income-tax-act,90A,Adoption by Central Government of agreement between specified associations for double taxation relief,income-tax-act-2025,159,Agreement with foreign countries or specified territories and adoption by Central Government of agreement between specified associations for double taxation relief,official,
income-tax-act,91,Countries with which no agreement exists,income-tax-act-2025,160,Countries with which no agreement exists,official,
income-tax-act,92,Computation of income from international transaction having regard to arm's length price,income-tax-act-2025,161,Computation of income from international transaction and specified domestic transaction having regard to arm's length price,official,
income-tax-act,92A,Meaning of associated enterprise,income-tax-act-2025,162,Meaning of associated enterprise,official,
income-tax-act,92B,Meaning of international transaction,income-tax-act-2025,163,Meaning of international transaction,official,
income-tax-act,92BA,Meaning of specified domestic transaction,income-tax-act-2025,164,Meaning of specified domestic transaction,official,
income-tax-act,92C,Computation of arm's length price,income-tax-act-2025,165,Determination of arm's length price,official,
income-tax-act,92CA,Reference to Transfer Pricing Officer,income-tax-act-2025,166,Reference to Transfer Pricing Officer,official,
income-tax-act,92CB,Power of Board to make safe harbour rules,income-tax-act-2025,167,Power of Board to make safe harbour rules,official,
income-tax-act,92CC,Advance pricing agreement,income-tax-act-2025,168,Advance pricing agreement,official,
income-tax-act,92CD,Effect to advance pricing agreement,income-tax-act-2025,169,,official,
income-tax-act,92CE,Secondary adjustment in certain cases,income-tax-act-2025,170,Secondary adjustment in certain cases,official,
income-tax-act,92D,"Maintenance, keeping and furnishing of information and document by certain persons",income-tax-act-2025,171,"Maintenance, keeping and furnishing of information and document by certain persons",official,
income-tax-act,92E,Report from an accountant to be furnished by persons entering into international transaction or specified domestic transaction,income-tax-act-2025,172,Report from an accountant to be furnished by persons entering into inter-national transaction or specified domestic transaction,official,
income-tax-act,92F,"Definitions of certain terms relevant to computation of arm's length price, etc",income-tax-act-2025,173,"Definitions of certain terms relevant to determination of arm's length price, etc",official,
income-tax-act,93,Avoidance of income-tax by transactions resulting in transfer of income to non-residents,income-tax-act-2025,174,Avoidance of income-tax by transactions resulting in transfer of income to non-residents,official,
income-tax-act,94,Avoidance of tax by certain transactions in securities,income-tax-act-2025,175,Avoidance of tax by certain transactions in securities,official,
income-tax-act,94A,Special measures in respect of transactions with persons located in notified jurisdictional area,income-tax-act-2025,176,Special measures in respect of transactions with persons located in notified jurisdictional area,official,
income-tax-act,94B,Limitation on interest deduction in certain cases,income-tax-act-2025,177,Limitation on interest deduction in certain cases,official,
income-tax-act,95,Applicability of General Anti-Avoidance Rule,income-tax-act-2025,178,Applicability of General Anti-Avoidance Rule,official,
income-tax-act,96,Impermissible avoidance arrangement,income-tax-act-2025,179,Impermissible avoidance arrangement,official,
income-tax-act,97,Arrangement to lack commercial substance,income-tax-act-2025,180,Arrangement to lack commercial substance,official,
income-tax-act,98,Consequences of impermissible avoidance arrangement,income-tax-act-2025,181,Consequences of impermissible avoidance arrangement,official,
income-tax-act,99,Treatment of connected person and accommodating party,income-tax-act-2025,182,Treatment of connected person and accommodating party,official,
income-tax-act,100,Application of this Chapter,income-tax-act-2025,183,Application of this Chapter,official,
income-tax-act,101,Framing of guidelines,income-tax-act-2025,183,Application of this Chapter,official,
income-tax-act,102,Definitions,income-tax-act-2025,184,Interpretation,official,
income-tax-act,110,Determination of tax where total income includes income on which no tax is payable,income-tax-act-2025,190,Determination of tax where total income includes income on which no tax is payable,official,
income-tax-act,111,Tax on accumulated balance of recognised provident fund,income-tax-act-2025,191,Tax on accumulated balance of recognised provident fund,official,
income-tax-act,111A,Tax on short-term capital gains in certain cases,income-tax-act-2025,196,Tax on short-term capital gains in certain cases,official,
income-tax-act,112,Tax on long-term capital gains,income-tax-act-2025,197,Tax on long-term capital gains,official,
income-tax-act,112A,Tax on long-term capital gains in certain cases,income-tax-act-2025,198,Tax on long-term capital gains in certain cases,official,
income-tax-act,113,Tax in the case of block assessment of search cases,income-tax-act-2025,192,Tax in case of block assessment of search cases,official,
income-tax-act,115A,"Tax on dividends, royalty and technical service fees in the case of foreign companies",income-tax-act-2025,207,"Tax on dividends, royalty and fees for technical service in case of foreign companies",official,
income-tax-act,115AB,Tax on income from units purchased in foreign currency or capital gains arising from their transfer,income-tax-act-2025,208,Tax on income from units purchased in foreign currency or capital gains arising from their transfer,official,
income-tax-act,115AC,Tax on income from bonds or Global Depository Receipts purchased in foreign currency or capital gains arising from their transfer,income-tax-act-2025,209,Tax on income from bonds or Global Depository Receipts purchased in foreign currency or capital gains arising from their transfer,official,
income-tax-act,115ACA,Tax on income from Global Depository Receipts purchased in foreign currency or capital gains arising from their transfer,income-tax-act-2025,193,Tax on income from Global Depository Receipts purchased in foreign currency or capital gains arising from their transfer,official,
income-tax-act,115AD,Tax on income of Foreign Institutional Investors from securities or capital gains arising from their transfer,income-tax-act-2025,210,Tax on income of Foreign Institutional Investors from securities or capital gains arising from their transfer,official,
income-tax-act,115B,Tax on profits and gains of life insurance business,income-tax-act-2025,194,Tax on certain incomes,official,
income-tax-act,115BA,Tax on income of certain manufacturing] domestic companies,income-tax-act-2025,199,Tax on income of certain manufacturing domestic companies,official,
income-tax-act,115BAA,Tax on income of certain domestic companies,income-tax-act-2025,200,Tax on income of certain domestic companies,official,
income-tax-act,115BAB,Tax on income of new manufacturing domestic companies,income-tax-act-2025,201,Tax on income of new manufacturing domestic companies,official,
income-tax-act,115BAC,"Tax on income of individuals, Hindu undivided family and others",income-tax-act-2025,202,"New tax regime for individuals, Hindu undivided family and others",official,
income-tax-act,115BAD,Tax on income of certain resident co-operative societies,income-tax-act-2025,203,Tax on income of certain resident co-operative societies,official,
income-tax-act,115BAE,Tax on income of certain new manufacturing co-operative societies,income-tax-act-2025,204,Tax on income of certain new manufacturing co-operative societies,official,
income-tax-act,115BB,"Tax on winnings from lotteries, crossword puzzles, races including horse races, card games and other games of any sort or gambling or betting of any form or nature whatsoever",income-tax-act-2025,194,Tax on certain incomes,official,
income-tax-act,115BBA,Tax on non-resident sportsmen or sports associations,income-tax-act-2025,211,Tax on non-resident sportsmen or sports associations,official,
income-tax-act,115BBB,Tax on income from units of an open-ended equity oriented fund of the Unit Trust of India or of Mutual Funds,income-tax-act-2025,,,official-none,
income-tax-act,115BBC,Anonymous donations to be taxed in certain cases,income-tax-act-2025,334,Tax on income of registered non-profit organisation,official,
income-tax-act,115BBD,Tax on certain dividends received from foreign companies,income-tax-act-2025,,,official-none,
income-tax-act,115BBE,Tax on income referred to in section 68 or section 69 or section 69A or section 69B or section 69C or section 69D,income-tax-act-2025,195,Tax on income referred to in sections 102 to 106,official,
income-tax-act,115BBF,Tax on income from patent,income-tax-act-2025,194,Tax on certain incomes,official,
income-tax-act,115BBG,Tax on income from transfer of carbon credits,income-tax-act-2025,194,Tax on certain incomes,official,
income-tax-act,115BBH,Tax on income from virtual digital asset,income-tax-act-2025,194,Tax on certain incomes,official,
income-tax-act,115BBI,Specified income of certain institutions,income-tax-act-2025,334,Tax on income of registered non-profit organisation,official,
income-tax-act,115BBJ,Tax on winnings from online games,income-tax-act-2025,194,Tax on certain incomes,official,
income-tax-act,115C,Definitions,income-tax-act-2025,212,Interpretation,official,
income-tax-act,115D,Special provision for computation of total income of non-residents,income-tax-act-2025,213,Special provision for computation of total income of non-residents,official,
income-tax-act,115E,Tax on investment income and long-term capital gains,income-tax-act-2025,214,Tax on investment income and long-term capital gains,official,
income-tax-act,115F,Capital gains on transfer of foreign exchange assets not to be charged in certain cases,income-tax-act-2025,215,Capital gains on transfer of foreign exchange assets not to be charged in certain cases,official,
income-tax-act,115G,Return of income not to be filed in certain cases,income-tax-act-2025,216,Return of income not to be furnished in certain cases,official,
income-tax-act,115H,Benefit under Chapter to be available in certain cases even after the assessee becomes resident,income-tax-act-2025,217,Application of benefits under sections 212 to 216,official,
income-tax-act,115J,Special provisions relating to certain companies,income-tax-act-2025,,,official-none,
income-tax-act,115JA,Deemed income relating to certain companies,income-tax-act-2025,,,official-none,
income-tax-act,115JAA,Tax credit in respect of tax paid on deemed income relating to certain companies,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JB,Special provision for payment of tax by certain companies,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JC,Special provisions for payment of tax by certain persons other than a company,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JD,Tax credit for alternate minimum tax,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JE,Application of other provisions of this Act,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JEE,Application of this Chapter to certain persons,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JF,Interpretation in this Chapter,income-tax-act-2025,206,Special provision for minimum alternate tax and alternate minimum tax,official,
income-tax-act,115JG,Conversion of an Indian branch of foreign company into subsidiary Indian company,income-tax-act-2025,219,Conversion of an Indian branch of foreign company into subsidiary Indian company,official,
income-tax-act,115JH,Foreign company said to be resident in India,income-tax-act-2025,220,Foreign company said to be resident in India,official,
income-tax-act,115P,Interest payable for non-payment of tax by domestic companies,income-tax-act-2025,,,official-none,
income-tax-act,115Q,When company is deemed to be in default,income-tax-act-2025,,,official-none,
income-tax-act,115QA,Tax on distributed income to shareholders,income-tax-act-2025,,,official-none,
income-tax-act,115QB,Interest payable for non-payment of tax by company,income-tax-act-2025,,,official-none,
income-tax-act,115QC,When company is deemed to be assessee in default,income-tax-act-2025,,,official-none,
income-tax-act,115R,Tax on distributed income to unit holders,income-tax-act-2025,,,official-none,
income-tax-act,115S,Interest payable for non-payment of tax,income-tax-act-2025,,,official-none,
income-tax-act,115T,Unit Trust of India or Mutual Fund to be an assessee in default,income-tax-act-2025,,,official-none,
income-tax-act,115TA,Tax on distributed income to investors,income-tax-act-2025,,,official-none,
income-tax-act,115TB,Interest payable for non-payment of tax,income-tax-act-2025,,,official-none,
income-tax-act,115TC,Securitisation trust to be assessee in default,income-tax-act-2025,,,official-none,
income-tax-act,115TCA,Tax on income from securitisation trusts,income-tax-act-2025,221,Tax on income from securitisation trusts,official,
income-tax-act,115TD,Tax on accreted income,income-tax-act-2025,352,Tax on accreted income,official,
income-tax-act,115TE,Interest payable for non-payment of tax by specified person,income-tax-act-2025,352,Tax on accreted income,official,
income-tax-act,115TF,When specified person is deemed to be assessee in default,income-tax-act-2025,352,Tax on accreted income,official,
income-tax-act,115U,Tax on income in certain cases,income-tax-act-2025,222,Tax on income in case of venture capital undertakings,official,
income-tax-act,115UA,Tax on income of unit holder and business trust,income-tax-act-2025,223,Tax on income of unit holder and business trust,official,
income-tax-act,115UB,Tax on income of investment fund and its unit holders,income-tax-act-2025,224,Tax on income of investment fund and its unit holders,official,
income-tax-act,115V,Definitions,income-tax-act-2025,235,Interpretation,official,
income-tax-act,115VA,Computation of profits and gains from the business of operating qualifying ships,income-tax-act-2025,225,Income from business of operating qualifying ships,official,
income-tax-act,115VB,Operating ships,income-tax-act-2025,226,Tonnage tax scheme,official,
income-tax-act,115VC,Qualifying company,income-tax-act-2025,235,Interpretation,official,
income-tax-act,115VD,Qualifying ship,income-tax-act-2025,235,Interpretation,official,
income-tax-act,115VE,Manner of computation of income under tonnage tax scheme,income-tax-act-2025,226,Tonnage tax scheme,official,
income-tax-act,115VF,Tonnage income,income-tax-act-2025,226,Tonnage tax scheme,official,
income-tax-act,115VG,Computation of tonnage income,income-tax-act-2025,227,Computation of tonnage income,official,
income-tax-act,115VH,"Calculation in case of joint operation, etc",income-tax-act-2025,227,Computation of tonnage income,official,
income-tax-act,115VJ,Treatment of common costs,income-tax-act-2025,228,Relevant shipping income and exclusion from book profit,official,
income-tax-act,115VK,Depreciation,income-tax-act-2025,229,Depreciation and gains relating to tonnage tax assets,official,
income-tax-act,115VL,"General exclusion of deduction and set off, etc",income-tax-act-2025,230,"Exclusion of deduction, loss, set off, etc",official,
income-tax-act,115VM,Exclusion of loss,income-tax-act-2025,230,"Exclusion of deduction, loss, set off, etc",official,
income-tax-act,115VN,Chargeable gains from transfer of tonnage tax assets,income-tax-act-2025,229,Depreciation and gains relating to tonnage tax assets,official,
income-tax-act,115VP,Method and time of opting for tonnage tax scheme,income-tax-act-2025,231,Method of opting of tonnage tax scheme and validity,official,
income-tax-act,115VQ,Period for which tonnage tax option to remain in force,income-tax-act-2025,231,Method of opting of tonnage tax scheme and validity,official,
income-tax-act,115VR,Renewal of tonnage tax scheme,income-tax-act-2025,231,Method of opting of tonnage tax scheme and validity,official,
income-tax-act,115VS,Prohibition to opt for tonnage tax scheme in certain cases,income-tax-act-2025,231,Method of opting of tonnage tax scheme and validity,official,
income-tax-act,115VT,Transfer of profits to Tonnage Tax Reserve Account,income-tax-act-2025,232,Certain conditions for applicability of tonnage tax scheme,official,
income-tax-act,115VU,Minimum training requirement for tonnage tax company,income-tax-act-2025,232,Certain conditions for applicability of tonnage tax scheme,official,
income-tax-act,115VV,Limit for charter in of tonnage,income-tax-act-2025,232,Certain conditions for applicability of tonnage tax scheme,official,
income-tax-act,115VW,Maintenance and audit of accounts,income-tax-act-2025,232,Certain conditions for applicability of tonnage tax scheme,official,
income-tax-act,115VX,Determination of tonnage,income-tax-act-2025,227,Computation of tonnage income,official,
income-tax-act,115VY,Amalgamation,income-tax-act-2025,233,Amalgamation and demerger,official,
income-tax-act,115VZ,Demerger,income-tax-act-2025,233,Amalgamation and demerger,official,
income-tax-act,115VZA,Effect of temporarily ceasing to operate qualifying ships,income-tax-act-2025,232,Certain conditions for applicability of tonnage tax scheme,official,
income-tax-act,115VZB,Avoidance of tax,income-tax-act-2025,234,Avoidance of tax and exclusion from tonnage tax scheme,official,
income-tax-act,115VZC,Exclusion from tonnage tax scheme,income-tax-act-2025,234,Avoidance of tax and exclusion from tonnage tax scheme,official,
income-tax-act,115W,Definitions,income-tax-act-2025,,,official-none,
income-tax-act,115WA,Charge of fringe benefit tax,income-tax-act-2025,,,official-none,
income-tax-act,115WB,Fringe benefits,income-tax-act-2025,,,official-none,
income-tax-act,115WC,Value of fringe benefits,income-tax-act-2025,,,official-none,
income-tax-act,115WD,Return of fringe benefits,income-tax-act-2025,,,official-none,
income-tax-act,115WE,Assessment,income-tax-act-2025,,,official-none,
income-tax-act,115WF,Best judgment assessment,income-tax-act-2025,,,official-none,
income-tax-act,115WG,Fringe benefits escaping assessment,income-tax-act-2025,,,official-none,
income-tax-act,115WH,Issue of notice where fringe benefits have escaped assessment,income-tax-act-2025,,,official-none,
income-tax-act,115WI,Payment of fringe benefit tax,income-tax-act-2025,,,official-none,
income-tax-act,115WJ,Advance tax in respect of fringe benefits,income-tax-act-2025,,,official-none,
income-tax-act,115WK,Interest for default in furnishing return of fringe benefits,income-tax-act-2025,,,official-none,
income-tax-act,115WKA,Recovery of fringe benefit tax by the employer from the employee,income-tax-act-2025,,,official-none,
income-tax-act,115WKB,Deemed payment of tax by employee,income-tax-act-2025,,,official-none,
income-tax-act,115WL,Application of other provisions of this Act,income-tax-act-2025,,,official-none,
income-tax-act,115WM,Chapter XII-H not to apply after a certain date,income-tax-act-2025,,,official-none,
income-tax-act,116,Income-tax authorities,income-tax-act-2025,236,Income-tax authorities,official,
income-tax-act,117,Appointment of income-tax authorities,income-tax-act-2025,237,Appointment of income-tax authorities,official,
income-tax-act,118,Control of income-tax authorities,income-tax-act-2025,238,Control of income-tax authorities,official,
income-tax-act,119,Instructions to subordinate authorities,income-tax-act-2025,239,Instructions to subordinate authorities,official,
income-tax-act,119A,Taxpayer's Charter,income-tax-act-2025,240,Taxpayer's Charter,official,
income-tax-act,120,Jurisdiction of income-tax authorities,income-tax-act-2025,241,Jurisdiction of income-tax authorities,official,
income-tax-act,124,Jurisdiction of Assessing Officers,income-tax-act-2025,242,Jurisdiction of Assessing Officers,official,
income-tax-act,127,Power to transfer cases,income-tax-act-2025,243,Power to transfer cases,official,
income-tax-act,129,Change of incumbent of an office,income-tax-act-2025,244,Change of incumbent of an office,official,
income-tax-act,130,Faceless jurisdiction of income-tax authorities,income-tax-act-2025,245,Faceless jurisdiction of income-tax authorities,official,
income-tax-act,131,"Power regarding discovery, production of evidence, etc",income-tax-act-2025,246,"Power regarding discovery, production of evidence, etc",official,
income-tax-act,132,Search and seizure,income-tax-act-2025,247,Search and seizure,official,
income-tax-act,132A,"Powers to requisition books of account, etc",income-tax-act-2025,248,Powers to requisition,official,
income-tax-act,132B,Application of seized or requisitioned assets,income-tax-act-2025,250,Application of seized or requisitioned assets,official,
income-tax-act,133,Power to call for information,income-tax-act-2025,252,Power to call for information,official,
income-tax-act,133A,Power of survey,income-tax-act-2025,253,Powers of survey,official,
income-tax-act,133B,Power to collect certain information,income-tax-act-2025,254,Power to collect certain information,official,
income-tax-act,133C,Power to call for information by prescribed income-tax authority,income-tax-act-2025,259,Power to call for information by prescribed income-tax authority,official,
income-tax-act,134,Power to inspect registers of companies,income-tax-act-2025,255,Power to inspect registers of companies,official,
income-tax-act,135,"Power of Principal Director General or Director General or Principal Director or Director, Principal Chief Commissioner or Chief Commissioner or Principal Commissioner or Commissioner and Joint Commissioner",income-tax-act-2025,256,Power of certain income-tax authorities,official,
income-tax-act,135A,Faceless collection of information,income-tax-act-2025,260,Faceless collection of information,official,
income-tax-act,136,Proceedings before income-tax authorities to be judicial proceedings,income-tax-act-2025,257,Proceedings before income-tax authorities to be judicial proceedings,official,
income-tax-act,138,Disclosure of information respecting assessees,income-tax-act-2025,258,Disclosure of information relating to assessees,official,
income-tax-act,139,Return of income,income-tax-act-2025,263,Return of income,official,
income-tax-act,139A,Permanent account number,income-tax-act-2025,262,Permanent Account Number,official,
income-tax-act,139AA,Quoting of Aadhaar number,income-tax-act-2025,262,Permanent Account Number,official,
income-tax-act,139B,Scheme for submission of returns through Tax Return Preparers,income-tax-act-2025,264,Scheme for submission of returns through tax return preparers,official,
income-tax-act,139C,"Power of Board to dispense with furnishing documents, etc., with return",income-tax-act-2025,,,official-none,
income-tax-act,139D,Filing of return in electronic form,income-tax-act-2025,263,Return of income,official,
income-tax-act,140,Return by whom to be verified,income-tax-act-2025,265,Return by whom to be verified,official,
income-tax-act,140A,Self-assessment,income-tax-act-2025,266,Self-assessment,official,
income-tax-act,140B,Tax on updated return,income-tax-act-2025,267,Tax on updated return,official,
income-tax-act,142,Inquiry before assessment,income-tax-act-2025,268,Inquiry before assessment,official,
income-tax-act,142A,Estimation of value of assets by Valuation Officer,income-tax-act-2025,269,Estimation of value of assets by Valuation Officer,official,
income-tax-act,142B,Faceless inquiry or Valuation,income-tax-act-2025,532,Power to frame schemes,official,
income-tax-act,143,Assessment,income-tax-act-2025,270,Assessment,official,
income-tax-act,144,Best judgment assessment,income-tax-act-2025,271,Best judgment assessment,official,
income-tax-act,144A,Power of Joint Commissioner to issue directions in certain cases,income-tax-act-2025,272,Power of Joint Commissioner to issue directions in certain cases,official,
income-tax-act,144B,Faceless Assessment,income-tax-act-2025,273,Faceless Assessment,official,
income-tax-act,144BA,Reference to Principal Commissioner or Commissioner in certain cases,income-tax-act-2025,274,Reference to Principal Commissioner or Commissioner in certain cases,official,
income-tax-act,144C,Reference to dispute resolution panel,income-tax-act-2025,275,Reference to Dispute Resolution Panel,official,
income-tax-act,145,Method of accounting,income-tax-act-2025,276,Method of accounting,official,
income-tax-act,145A,Method of accounting in certain cases,income-tax-act-2025,277,Method of accounting in certain cases,official,
income-tax-act,145B,Taxability of certain income,income-tax-act-2025,278,Taxability of certain income,official,
income-tax-act,147,Income escaping assessment,income-tax-act-2025,279,Income escaping assessment,official,
income-tax-act,148,Issue of notice where income has escaped assessment,income-tax-act-2025,280,Issue of notice where income has escaped assessment,official,
income-tax-act,148A,Procedure before issuance of notice under section 148,income-tax-act-2025,281,Procedure before issuance of notice under section 280,official,
income-tax-act,148B,"Prior approval for assessment, reassessment or recomputation in certain cases",income-tax-act-2025,,,official-none,
income-tax-act,149,Time limit for notices under sections 148 and 148A,income-tax-act-2025,282,Time limit for notices under sections 280 and 281,official,
income-tax-act,151,Sanction for issue of notice,income-tax-act-2025,284,Sanction for issue of notice,official,
income-tax-act,151A,Faceless assessment of income escaping assessment,income-tax-act-2025,532,Power to frame schemes,official,
income-tax-act,152,Other provisions,income-tax-act-2025,285,Other provisions,official,
income-tax-act,153,"Time limit for completion of assessment, reassessment and recomputation",income-tax-act-2025,286,"Time limit for completion of assessment, reassessment and recomputation",official,
income-tax-act,153A,Assessment in case of search or requisition,income-tax-act-2025,,,official-none,
income-tax-act,153B,Time limit for completion of assessment under section 153A,income-tax-act-2025,,,official-none,
income-tax-act,153C,Assessment of income of any other person,income-tax-act-2025,,,official-none,
income-tax-act,153D,Prior approval necessary for assessment in cases of search or requisition,income-tax-act-2025,,,official-none,
income-tax-act,154,Rectification of mistake,income-tax-act-2025,287,Rectification of mistake,official,
income-tax-act,155,Other amendments,income-tax-act-2025,288,Other amendments,official,
income-tax-act,156,Notice of demand,income-tax-act-2025,289,Notice of demand,official,
income-tax-act,156A,Modification and revision of notice in certain cases,income-tax-act-2025,290,Modification and revision of notice in certain cases,official,
income-tax-act,157,Intimation of loss,income-tax-act-2025,291,Intimation of loss,official,
income-tax-act,157A,"Faceless rectification, amendments and issuance of notice or intimation",income-tax-act-2025,532,Power to frame schemes,official,
income-tax-act,158,Intimation of assessment of firm,income-tax-act-2025,,,official-none,
income-tax-act,158A,Procedure when assessee claims identical question of law is pending before High Court or Supreme Court,income-tax-act-2025,375,Procedure when assessee claims identical question of law is pending before High Court or Supreme Court,official,
income-tax-act,158AA,Procedure when in an appeal by revenue an identical question of law is pending before Supreme Court,income-tax-act-2025,,,official-none,
income-tax-act,158AB,Procedure where an identical question of law is pending before High Courts or Supreme Court,income-tax-act-2025,376,Procedure where an identical question of law is pending before High Courts or Supreme Court,official,
income-tax-act,158B,Definitions,income-tax-act-2025,301,Interpretation,official,
income-tax-act,158BA,total undisclosed income] as a result of search,income-tax-act-2025,292,Assessment of total undisclosed income as a result of search,official,
income-tax-act,158BC,Procedure for block assessment,income-tax-act-2025,294,Procedure for block assessment,official,
income-tax-act,158BD,Undisclosed income of any other person,income-tax-act-2025,295,Undisclosed income of any other person,official,
income-tax-act,158BE,Time-limit for completion of block assessment,income-tax-act-2025,296,,official,
income-tax-act,158BF,Certain interests and penalties not to be levied or imposed,income-tax-act-2025,297,Certain interests and penalties not to be levied or imposed,official,
income-tax-act,158BFA,Levy of interest and penalty in certain cases,income-tax-act-2025,298,Levy of interest and penalty in certain cases,official,
income-tax-act,158BG,Authority competent to make assessment of block period,income-tax-act-2025,299,Authority competent to make assessment of block period,official,
income-tax-act,158BH,Application of other provisions of this Act,income-tax-act-2025,300,Application of other provisions of Act,official,
income-tax-act,159,Legal representatives,income-tax-act-2025,302,Legal representative,official,
income-tax-act,160,Representative assessee,income-tax-act-2025,303,Representative assessee,official,
income-tax-act,161,Liability of representative assessee,income-tax-act-2025,304,Liability of representative assessee,official,
income-tax-act,162,Right of representative assessee to recover tax paid,income-tax-act-2025,305,Right of representative assessee to recover tax paid,official,
income-tax-act,163,Who may be regarded as agent,income-tax-act-2025,306,Who may be regarded as agent,official,
income-tax-act,164,Charge of tax where share of beneficiaries unknown,income-tax-act-2025,307,Charge of tax where share of beneficiaries unknown,official,
income-tax-act,164A,Charge of tax in case of oral trust,income-tax-act-2025,308,Charge of tax in case of oral trust,official,
income-tax-act,165,Case where part of trust income is chargeable,income-tax-act-2025,304,Liability of representative assessee,official,
income-tax-act,166,Direct assessment or recovery not barred,income-tax-act-2025,304,Liability of representative assessee,official,
income-tax-act,167,Remedies against property in cases of representative assessees,income-tax-act-2025,304,Liability of representative assessee,official,
income-tax-act,167A,Charge of tax in the case of a firm,income-tax-act-2025,324,Charge of tax in case of a firm,official,
income-tax-act,167B,"Charge of tax where shares of members in association of persons or body of individuals unknown, etc",income-tax-act-2025,311,"Charge of tax where shares of members in association of persons or body of individuals unknown, etc",official,
income-tax-act,167C,Liability of partners of limited liability partnership in liquidation,income-tax-act-2025,331,Liability of partners of limited liability partnership in liquidation,official,
income-tax-act,168,Executors,income-tax-act-2025,312,Executor,official,
income-tax-act,169,Right of executor to recover tax paid,income-tax-act-2025,312,Executor,official,
income-tax-act,170,Succession to business otherwise than on death,income-tax-act-2025,313,Succession to business or profession otherwise than on death,official,
income-tax-act,170A,Effect of order of tribunal or court in respect of business reorganisation,income-tax-act-2025,314,Effect of order of tribunal or court in respect of business reorganisation,official,
income-tax-act,171,Assessment after partition of a Hindu undivided family,income-tax-act-2025,315,Assessment after partition of Hindu undivided family,official,
income-tax-act,172,Shipping business of non-residents,income-tax-act-2025,316,Shipping business of non-residents,official,
income-tax-act,173,Recovery of tax in respect of non-resident from his assets,income-tax-act-2025,422,Recovery of tax arrear in respect of non-resident from his assets,official,
income-tax-act,174,Assessment of persons leaving India,income-tax-act-2025,317,Assessment of persons leaving India,official,
income-tax-act,174A,Assessment of association of persons or body of individuals or artificial juridical person formed for a particular event or purpose,income-tax-act-2025,318,Assessment of association of persons or body of individuals or artificial juridical person formed for a particular event or purpose,official,
income-tax-act,175,Assessment of persons likely to transfer property to avoid tax,income-tax-act-2025,319,Assessment of persons likely to transfer property to avoid tax,official,
income-tax-act,176,Discontinued business,income-tax-act-2025,320,Discontinued business,official,
income-tax-act,177,Association dissolved or business discontinued,income-tax-act-2025,321,Association dissolved or business discontinued,official,
income-tax-act,178,Company in liquidation,income-tax-act-2025,322,Company in liquidation,official,
income-tax-act,179,Liability of directors of private company,income-tax-act-2025,323,Liability of directors of private company,official,
income-tax-act,180,Royalties or copyright fees for literary or artistic work,income-tax-act-2025,,,official-none,
income-tax-act,180A,Consideration for know-how,income-tax-act-2025,,,official-none,
income-tax-act,184,Assessment as a firm,income-tax-act-2025,325,Assessment as a firm,official,
income-tax-act,185,Assessment when section 184 not complied with,income-tax-act-2025,326,Assessment when section 325 not complied with,official,
